epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,6953.06,0.90885,0.45863,0.94553,0.9701,0.94373,0.95581,0.67256,0.95187,0.39052,0.99765,2.79754e-05,2.79754e-05,2.79754e-05
90,7036.1,0.90767,0.45426,0.94356,0.97029,0.94448,0.95594,0.67245,0.95155,0.39108,0.997,2.454e-05,2.454e-05,2.454e-05
91,7118.97,0.84979,0.34635,0.93046,0.97075,0.94311,0.95566,0.67245,0.95237,0.39427,0.99754,2.13919e-05,2.13919e-05,2.13919e-05
92,7196.48,0.844,0.34339,0.9334,0.9684,0.9442,0.95534,0.67212,0.95107,0.39481,0.9975,1.85341e-05,1.85341e-05,1.85341e-05
93,7273.73,0.84107,0.33827,0.92604,0.96835,0.9453,0.95552,0.67259,0.94998,0.39439,0.99723,1.59696e-05,1.59696e-05,1.59696e-05
94,7349.88,0.84254,0.33874,0.93038,0.96827,0.94558,0.9559,0.67284,0.95071,0.39244,0.99725,1.37008e-05,1.37008e-05,1.37008e-05
95,7427.19,0.83986,0.33955,0.92857,0.96775,0.94645,0.95562,0.67226,0.95104,0.39159,0.99732,1.17299e-05,1.17299e-05,1.17299e-05
96,7503.18,0.84328,0.33873,0.92989,0.96784,0.94657,0.95565,0.67282,0.94997,0.39152,0.99681,1.00589e-05,1.00589e-05,1.00589e-05
97,7578.91,0.83983,0.33941,0.92883,0.9694,0.94501,0.95571,0.67291,0.95051,0.39183,0.99705,8.68951e-06,8.68951e-06,8.68951e-06
98,7660.03,0.83781,0.33691,0.9271,0.96846,0.94514,0.95573,0.67278,0.95083,0.39183,0.99708,7.62302e-06,7.62302e-06,7.62302e-06
99,7726.36,0.84197,0.33846,0.92831,0.96825,0.94521,0.95605,0.67282,0.9505,0.39176,0.99695,6.86048e-06,6.86048e-06,6.86048e-06
100,7789.03,0.83813,0.33703,0.92854,0.96948,0.94456,0.95608,0.6727,0.95052,0.39127,0.99699,6.40266e-06,6.40266e-06,6.40266e-06
